id;value;want_to_improve;is_evaluated;evaluated_skill_id;evaluating_user_id
1;2;false;true;1;1
2;3;true;true;2;2
3;4;true;true;3;3
4;5;false;true;4;4
5;6;false;true;5;5
6;7;true;true;6;6
7;8;false;true;7;7
8;9;true;true;8;8
9;10;false;true;9;9
10;1;true;true;10;10
11;2;false;true;11;11
12;3;false;true;12;12
13;4;false;true;14;1
14;5;false;true;15;2
15;6;false;true;16;3
16;7;false;true;17;4
17;8;false;true;18;5
18;9;false;true;19;6
19;10;false;true;20;7
20;1;false;true;1;8
21;2;false;true;2;9
22;3;false;true;3;10
23;4;false;true;4;11
24;5;false;true;5;12
25;6;false;true;6;1
26;7;false;true;7;2
27;8;false;true;8;3
28;9;false;true;9;4
29;10;false;true;10;5
30;5;false;true;11;6
31;2;false;true;12;7
32;3;false;true;13;8
33;6;false;true;14;9
34;4;false;true;15;10
35;9;false;true;16;11
36;2;false;true;17;12
37;4;false;true;18;1
38;5;false;true;19;2
39;7;false;true;20;3
40;8;false;true;1;4
41;3;false;true;2;5
42;6;false;true;3;6
43;2;false;true;4;7
44;1;false;true;5;8
45;4;false;true;6;9
46;5;false;true;7;10
47;6;false;true;8;11
48;8;false;true;9;12
49;7;false;true;10;1
50;5;false;true;11;2
51;3;false;true;12;3
52;0;false;true;13;4
53;5;false;true;14;5
54;9;false;true;15;6
55;1;false;true;16;7
56;0;false;true;17;8
57;5;false;true;18;9
58;5;false;true;19;10
59;9;false;true;20;11
60;7;false;true;2;12
61;4;false;true;3;2
62;5;false;true;4;3
63;5;false;true;5;4
64;3;false;true;6;5
65;1;false;true;7;6
66;3;false;true;8;7
67;5;false;true;9;8
68;4;false;true;10;9
69;5;false;true;11;10
70;9;false;true;12;11
71;7;false;true;13;12
72;2;false;true;15;1
73;1;false;true;16;2
74;9;false;true;17;3
75;5;false;true;18;4
76;1;false;true;19;5
77;4;false;true;20;6
78;9;false;true;1;7
79;3;false;true;2;8
80;0;false;true;3;9
81;8;false;true;4;10
82;4;false;true;5;11
83;6;false;true;6;12
84;4;false;true;7;1
85;1;false;true;8;2
86;2;false;true;9;3
87;3;false;true;10;4
88;4;false;true;11;5
89;9;false;true;12;6
90;7;false;true;13;7
91;1;false;true;14;8
92;5;false;true;15;9
93;6;false;true;16;10
94;4;false;true;17;11
95;3;false;true;18;12
96;2;false;true;19;1
97;1;false;true;20;2
98;2;false;true;1;3
99;8;false;true;2;4
100;0;false;true;3;5
