id;category;name
1;TOOLS;Jira
2;VDS_V10;Tourplanung
3;TECHNOLOGIE_ALLGEMEIN;Linux/Unix
4;TOOLS;Git
5;TECHNOLOGIE_ALLGEMEIN;QControl
6;TOOLS;Confluence
7;GB60_TECHNOLOGIE;JavaQueryHandler
8;TECHNOLOGIE_ALLGEMEIN;Liquibase
9;APPUSECASES;Cargo laden
10;VDS_V10;VPC Gui
11;TECHNOLOGIE_ALLGEMEIN;HTML
12;TECHNOLOGIE_ALLGEMEIN;Maven
13;TECHNOLOGIE_ALLGEMEIN;AWS
14;GB60_TECHNOLOGIE;Truck App
15;GB60_TECHNOLOGIE;Rechtemanagement
16;VDS_V10;Planning
17;VDS_V10;RFQ
18;TOOLS;KapaTess
19;APPUSECASES;Auftrag abrufen
20;APPUSECASES;Stellplaetze verwalten
